"video_id","title","channel","upload_date","duration_sec","category","brand_or_source","actor","source_url","local_filename"
JbwJLSuiDlk,Rajshree Pan Masala Girl Child,Real Advertising,20160215,15,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=JbwJLSuiDlk,Videos\Promotional_NEW\JbwJLSuiDlk.mp4
Zv_4wxARy5I,Pan Bahar Cow boy,kapmprod,20140824,36,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=Zv_4wxARy5I,Videos\Promotional_NEW\Zv_4wxARy5I.mp4
G8UBopcDXx0,Vimal Elaichi 60 Sec latest TVC Bolo Zubaan Kesari,Vimal Elaichi,20170417,60,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=G8UBopcDXx0,Videos\Promotional_NEW\G8UBopcDXx0.mp4
Z4A8G6FzgSw,Royal Stag | It’s Our Life. We Live It Large | The Film,Royal Stag Live It Large,20260216,60,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=Z4A8G6FzgSw,Videos\Promotional_NEW\Z4A8G6FzgSw.mp4
pTZ1NhNGaVM,Royal Stag WC 40 Sec,alaukik narain,20110214,44,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=pTZ1NhNGaVM,Videos\Promotional_NEW\pTZ1NhNGaVM.mp4
Khndj0ONvyc,McDowell's No1 Soda,Sachin R Editor,20190923,31,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=Khndj0ONvyc,Videos\Promotional_NEW\Khndj0ONvyc.mp4
jLTcQxKUZqM,Dhoni Controversial  McDowells Platinum Ad,Rohan Shrivastava,20110707,30,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=jLTcQxKUZqM,Videos\Promotional_NEW\jLTcQxKUZqM.mp4
Bhy138wIU3A,Bagpiper old ads | ft Dharmendra | old vhs ads,90s time travels,20231004,32,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=Bhy138wIU3A,Videos\Promotional_NEW\Bhy138wIU3A.mp4
RId_UXL3rI8,Seagram's Imperial Blue TVC- Anniversary.mp4,alaukik narain,20110808,54,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=RId_UXL3rI8,Videos\Promotional_NEW\RId_UXL3rI8.mp4
ZGKV17Q6Ohc,Men will be Men   Imperial Blue   Rose mp4,_______,20141122,54,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=ZGKV17Q6Ohc,Videos\Promotional_NEW\ZGKV17Q6Ohc.mp4
wra7rtoaP8M,Gold Flake Wills cigarettes ads,Iqra Khalid,20220703,43,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=wra7rtoaP8M,Videos\Promotional_NEW\wra7rtoaP8M.mp4
lnX3Z2_Lx7Y,Funny smokers advertisement funny cigarette India video,Funny Indian Advertisement,20180814,50,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=lnX3Z2_Lx7Y,Videos\Promotional_NEW\lnX3Z2_Lx7Y.mp4
Pn8LpB6L0F8,Vimal Elaichi I Product Window I Shahrukh Khan I Hindi TVC 20 secs.,Vimal Elaichi,20250227,20,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=Pn8LpB6L0F8,Videos\Promotional_NEW\Pn8LpB6L0F8.mp4
Bv2fH4WEW5w,Kamla Pasand 2- Hindi,Kamla Pasand Elaichi,20211028,20,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=Bv2fH4WEW5w,Videos\Promotional_NEW\Bv2fH4WEW5w.mp4
H7ZX6qa0RFc,Vimal Elaichi - Ajay Devgn | Shahrukh Khan | Akshay Kumar Hindi TVC 40 secs,Vimal Elaichi,20220416,40,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=H7ZX6qa0RFc,Videos\Promotional_NEW\H7ZX6qa0RFc.mp4
-J_k02u1kUk,Akshay Kumar's Controversial VIMAL Elaichi Ad TVC,Ads Forum,20220422,57,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=-J_k02u1kUk,Videos\Promotional_NEW\-J_k02u1kUk.mp4
Nu6RvMB4QZY,Rajshree Pan Masala  Dowry,Real Advertising,20160215,20,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=Nu6RvMB4QZY,Videos\Promotional_NEW\Nu6RvMB4QZY.mp4
7vulFlXJP1E,Vimal Elaichi I Product Window I Ajay Devgn I Hindi TVC 20 secs.,Vimal Elaichi,20250227,20,Promotional,TVAd_SearchDiscovered,Not identified,https://www.youtube.com/watch?v=7vulFlXJP1E,Videos\Promotional_NEW\7vulFlXJP1E.mp4
